Account Number,Customer Name,State,Branch Code,Branch Manager,Balance,Has Loan,Loan Amount,Interest,EMI Status
10090,Customer_10090,Karnataka,AEIB-KA,Amit Verma,93157,False,0,0.0,N/A
10091,Customer_10091,Karnataka,AEIB-KA,Amit Verma,49889,True,391979,31358.32,Not Paying
10092,Customer_10092,Karnataka,AEIB-KA,Amit Verma,21363,False,0,0.0,N/A
10093,Customer_10093,Karnataka,AEIB-KA,Amit Verma,68418,True,247648,19811.84,Paying
10094,Customer_10094,Karnataka,AEIB-KA,Amit Verma,62508,True,384452,30756.16,Not Paying
10095,Customer_10095,Karnataka,AEIB-KA,Amit Verma,47179,False,0,0.0,N/A
10096,Customer_10096,Karnataka,AEIB-KA,Amit Verma,145216,True,298558,23884.64,Not Paying
10097,Customer_10097,Karnataka,AEIB-KA,Amit Verma,138267,True,206759,16540.72,Not Paying
10098,Customer_10098,Karnataka,AEIB-KA,Amit Verma,102594,True,191172,15293.76,Not Paying
10099,Customer_10099,Karnataka,AEIB-KA,Amit Verma,48723,True,358000,28640.0,Paying
10100,Customer_10100,Karnataka,AEIB-KA,Amit Verma,157022,True,279330,22346.4,Paying
10101,Customer_10101,Karnataka,AEIB-KA,Amit Verma,51614,True,361891,28951.28,Not Paying
10102,Customer_10102,Karnataka,AEIB-KA,Amit Verma,17232,False,0,0.0,N/A
10103,Customer_10103,Karnataka,AEIB-KA,Amit Verma,108941,True,225311,18024.88,Not Paying
10104,Customer_10104,Karnataka,AEIB-KA,Amit Verma,108563,False,0,0.0,N/A
10105,Customer_10105,Karnataka,AEIB-KA,Amit Verma,173284,False,0,0.0,N/A
10106,Customer_10106,Karnataka,AEIB-KA,Amit Verma,169426,True,319745,25579.600000000002,Not Paying
10107,Customer_10107,Karnataka,AEIB-KA,Amit Verma,16059,True,464482,37158.56,Not Paying
10108,Customer_10108,Karnataka,AEIB-KA,Amit Verma,141482,True,132357,10588.56,Paying
10109,Customer_10109,Karnataka,AEIB-KA,Amit Verma,99123,False,0,0.0,N/A
10110,Customer_10110,Karnataka,AEIB-KA,Amit Verma,28314,False,0,0.0,N/A
10111,Customer_10111,Karnataka,AEIB-KA,Amit Verma,30025,False,0,0.0,N/A
10112,Customer_10112,Karnataka,AEIB-KA,Amit Verma,36838,False,0,0.0,N/A
10113,Customer_10113,Karnataka,AEIB-KA,Amit Verma,96802,False,0,0.0,N/A
10114,Customer_10114,Karnataka,AEIB-KA,Amit Verma,147906,True,123929,9914.32,Paying
10115,Customer_10115,Karnataka,AEIB-KA,Amit Verma,52993,True,414199,33135.92,Paying
10116,Customer_10116,Karnataka,AEIB-KA,Amit Verma,135061,False,0,0.0,N/A
10117,Customer_10117,Karnataka,AEIB-KA,Amit Verma,20352,True,326441,26115.28,Paying
10118,Customer_10118,Karnataka,AEIB-KA,Amit Verma,17003,False,0,0.0,N/A
10119,Customer_10119,Karnataka,AEIB-KA,Amit Verma,178511,False,0,0.0,N/A
10120,Customer_10120,Karnataka,AEIB-KA,Amit Verma,86858,False,0,0.0,N/A
10121,Customer_10121,Karnataka,AEIB-KA,Amit Verma,57280,False,0,0.0,N/A
10122,Customer_10122,Karnataka,AEIB-KA,Amit Verma,89631,False,0,0.0,N/A
10123,Customer_10123,Karnataka,AEIB-KA,Amit Verma,40428,True,273575,21886.0,Paying
10124,Customer_10124,Karnataka,AEIB-KA,Amit Verma,143806,True,336049,26883.920000000002,Not Paying
10125,Customer_10125,Karnataka,AEIB-KA,Amit Verma,81473,False,0,0.0,N/A
10126,Customer_10126,Karnataka,AEIB-KA,Amit Verma,71589,True,348805,27904.4,Not Paying
10127,Customer_10127,Karnataka,AEIB-KA,Amit Verma,81723,False,0,0.0,N/A
10128,Customer_10128,Karnataka,AEIB-KA,Amit Verma,131983,True,343001,27440.08,Paying
10129,Customer_10129,Karnataka,AEIB-KA,Amit Verma,136923,True,463393,37071.44,Paying
10130,Customer_10130,Karnataka,AEIB-KA,Amit Verma,127741,True,271310,21704.8,Paying
10131,Customer_10131,Tamil Nadu,AEIB-TN,Sneha Gupta,27036,True,132032,10562.56,Not Paying
10132,Customer_10132,Tamil Nadu,AEIB-TN,Sneha Gupta,87570,False,0,0.0,N/A
10133,Customer_10133,Tamil Nadu,AEIB-TN,Sneha Gupta,84403,True,250596,20047.68,Paying
10134,Customer_10134,Tamil Nadu,AEIB-TN,Sneha Gupta,67729,False,0,0.0,N/A
10135,Customer_10135,Tamil Nadu,AEIB-TN,Sneha Gupta,24055,True,404124,32329.920000000002,Paying
10136,Customer_10136,Tamil Nadu,AEIB-TN,Sneha Gupta,41209,True,129073,10325.84,Not Paying
10137,Customer_10137,Tamil Nadu,AEIB-TN,Sneha Gupta,76299,True,283274,22661.920000000002,Not Paying
10138,Customer_10138,Tamil Nadu,AEIB-TN,Sneha Gupta,19705,False,0,0.0,N/A
10139,Customer_10139,Tamil Nadu,AEIB-TN,Sneha Gupta,30274,True,304789,24383.12,Paying
10140,Customer_10140,Tamil Nadu,AEIB-TN,Sneha Gupta,58251,False,0,0.0,N/A
10141,Customer_10141,Tamil Nadu,AEIB-TN,Sneha Gupta,18729,True,119658,9572.64,Paying
10142,Customer_10142,Tamil Nadu,AEIB-TN,Sneha Gupta,162944,True,192537,15402.960000000001,Not Paying
10143,Customer_10143,Tamil Nadu,AEIB-TN,Sneha Gupta,111693,True,345518,27641.440000000002,Paying
10144,Customer_10144,Tamil Nadu,AEIB-TN,Sneha Gupta,50302,True,428563,34285.04,Not Paying
10145,Customer_10145,Tamil Nadu,AEIB-TN,Sneha Gupta,20835,False,0,0.0,N/A
10146,Customer_10146,Tamil Nadu,AEIB-TN,Sneha Gupta,109550,False,0,0.0,N/A
10147,Customer_10147,Tamil Nadu,AEIB-TN,Sneha Gupta,43111,False,0,0.0,N/A
10148,Customer_10148,Tamil Nadu,AEIB-TN,Sneha Gupta,106723,True,195353,15628.24,Not Paying
10149,Customer_10149,Tamil Nadu,AEIB-TN,Sneha Gupta,65935,True,401708,32136.64,Paying
10150,Customer_10150,Tamil Nadu,AEIB-TN,Sneha Gupta,186931,True,123064,9845.12,Not Paying
10151,Customer_10151,Tamil Nadu,AEIB-TN,Sneha Gupta,133089,False,0,0.0,N/A
10152,Customer_10152,Tamil Nadu,AEIB-TN,Sneha Gupta,73219,True,253603,20288.24,Paying
10153,Customer_10153,Tamil Nadu,AEIB-TN,Sneha Gupta,126550,True,220438,17635.04,Not Paying
10154,Customer_10154,Tamil Nadu,AEIB-TN,Sneha Gupta,42292,True,499202,39936.16,Not Paying
10155,Customer_10155,Tamil Nadu,AEIB-TN,Sneha Gupta,35441,True,181165,14493.2,Not Paying
10156,Customer_10156,Tamil Nadu,AEIB-TN,Sneha Gupta,40235,True,55037,4402.96,Not Paying
10157,Customer_10157,Tamil Nadu,AEIB-TN,Sneha Gupta,182103,False,0,0.0,N/A
10158,Customer_10158,Tamil Nadu,AEIB-TN,Sneha Gupta,81478,False,0,0.0,N/A
10159,Customer_10159,Tamil Nadu,AEIB-TN,Sneha Gupta,192890,True,145597,11647.76,Not Paying
10160,Customer_10160,Tamil Nadu,AEIB-TN,Sneha Gupta,112234,True,249898,19991.84,Not Paying
10161,Customer_10161,Tamil Nadu,AEIB-TN,Sneha Gupta,170402,True,206108,16488.64,Not Paying
10162,Customer_10162,Rajasthan,AEIB-RJ,Vikram Joshi,164322,True,297598,23807.84,Paying
10163,Customer_10163,Rajasthan,AEIB-RJ,Vikram Joshi,135621,False,0,0.0,N/A
10164,Customer_10164,Rajasthan,AEIB-RJ,Vikram Joshi,134018,False,0,0.0,N/A
10165,Customer_10165,Rajasthan,AEIB-RJ,Vikram Joshi,8466,False,0,0.0,N/A
10166,Customer_10166,Rajasthan,AEIB-RJ,Vikram Joshi,75238,True,229445,18355.600000000002,Paying
10167,Customer_10167,Rajasthan,AEIB-RJ,Vikram Joshi,52273,True,446203,35696.24,Paying
10168,Customer_10168,Rajasthan,AEIB-RJ,Vikram Joshi,33039,False,0,0.0,N/A
10169,Customer_10169,Rajasthan,AEIB-RJ,Vikram Joshi,174641,False,0,0.0,N/A
10170,Customer_10170,Rajasthan,AEIB-RJ,Vikram Joshi,147172,True,469035,37522.8,Paying
10171,Customer_10171,Rajasthan,AEIB-RJ,Vikram Joshi,13292,True,440322,35225.76,Paying
10172,Customer_10172,Rajasthan,AEIB-RJ,Vikram Joshi,95286,True,201201,16096.08,Paying
10173,Customer_10173,Rajasthan,AEIB-RJ,Vikram Joshi,178801,True,137496,10999.68,Not Paying
10174,Customer_10174,Rajasthan,AEIB-RJ,Vikram Joshi,138245,True,450090,36007.200000000004,Not Paying
10175,Customer_10175,Rajasthan,AEIB-RJ,Vikram Joshi,94208,True,445973,35677.840000000004,Paying
10176,Customer_10176,Rajasthan,AEIB-RJ,Vikram Joshi,28842,False,0,0.0,N/A
10177,Customer_10177,Rajasthan,AEIB-RJ,Vikram Joshi,126532,False,0,0.0,N/A
10178,Customer_10178,Rajasthan,AEIB-RJ,Vikram Joshi,179936,True,414316,33145.28,Not Paying
10179,Customer_10179,Rajasthan,AEIB-RJ,Vikram Joshi,141002,True,414134,33130.72,Not Paying
10180,Customer_10180,Rajasthan,AEIB-RJ,Vikram Joshi,90371,True,443316,35465.28,Paying
10181,Customer_10181,Rajasthan,AEIB-RJ,Vikram Joshi,79573,False,0,0.0,N/A
10182,Customer_10182,Rajasthan,AEIB-RJ,Vikram Joshi,30247,True,74813,5985.04,Not Paying
10183,Customer_10183,Rajasthan,AEIB-RJ,Vikram Joshi,52354,True,288873,23109.84,Not Paying
10184,Customer_10184,Rajasthan,AEIB-RJ,Vikram Joshi,27957,True,473065,37845.200000000004,Paying
10185,Customer_10185,Rajasthan,AEIB-RJ,Vikram Joshi,73727,True,178385,14270.800000000001,Not Paying
10186,Customer_10186,Rajasthan,AEIB-RJ,Vikram Joshi,44308,False,0,0.0,N/A
10187,Customer_10187,Rajasthan,AEIB-RJ,Vikram Joshi,36739,True,485006,38800.48,Paying
10188,Customer_10188,Rajasthan,AEIB-RJ,Vikram Joshi,135861,False,0,0.0,N/A
10189,Customer_10189,Rajasthan,AEIB-RJ,Vikram Joshi,157746,False,0,0.0,N/A
10190,Customer_10190,Rajasthan,AEIB-RJ,Vikram Joshi,6337,True,263379,21070.32,Not Paying
10191,Customer_10191,Rajasthan,AEIB-RJ,Vikram Joshi,32342,True,358922,28713.760000000002,Paying
10192,Customer_10192,Rajasthan,AEIB-RJ,Vikram Joshi,192409,True,361646,28931.68,Paying
10193,Customer_10193,Rajasthan,AEIB-RJ,Vikram Joshi,156171,True,87028,6962.24,Paying
10194,Customer_10194,Uttar Pradesh,AEIB-UP,Anjali Rao,139583,False,0,0.0,N/A
10195,Customer_10195,Uttar Pradesh,AEIB-UP,Anjali Rao,170778,False,0,0.0,N/A
10196,Customer_10196,Uttar Pradesh,AEIB-UP,Anjali Rao,161401,True,341563,27325.04,Paying
10197,Customer_10197,Uttar Pradesh,AEIB-UP,Anjali Rao,135544,True,81649,6531.92,Not Paying
10198,Customer_10198,Uttar Pradesh,AEIB-UP,Anjali Rao,190501,True,354942,28395.36,Paying
10199,Customer_10199,Uttar Pradesh,AEIB-UP,Anjali Rao,33960,False,0,0.0,N/A
10200,Customer_10200,Uttar Pradesh,AEIB-UP,Anjali Rao,32260,False,0,0.0,N/A
10201,Customer_10201,Uttar Pradesh,AEIB-UP,Anjali Rao,15738,True,172857,13828.56,Paying
10202,Customer_10202,Uttar Pradesh,AEIB-UP,Anjali Rao,43464,False,0,0.0,N/A
10203,Customer_10203,Uttar Pradesh,AEIB-UP,Anjali Rao,15825,True,363095,29047.600000000002,Not Paying
10204,Customer_10204,Uttar Pradesh,AEIB-UP,Anjali Rao,112568,False,0,0.0,N/A
10205,Customer_10205,Uttar Pradesh,AEIB-UP,Anjali Rao,17404,True,351165,28093.2,Paying
10206,Customer_10206,Uttar Pradesh,AEIB-UP,Anjali Rao,80955,True,295594,23647.52,Not Paying
10207,Customer_10207,Uttar Pradesh,AEIB-UP,Anjali Rao,108709,True,410020,32801.6,Paying
10208,Customer_10208,Uttar Pradesh,AEIB-UP,Anjali Rao,114889,False,0,0.0,N/A
10209,Customer_10209,Uttar Pradesh,AEIB-UP,Anjali Rao,73816,False,0,0.0,N/A
10210,Customer_10210,Uttar Pradesh,AEIB-UP,Anjali Rao,119716,True,348164,27853.12,Paying
10211,Customer_10211,Uttar Pradesh,AEIB-UP,Anjali Rao,52042,True,188498,15079.84,Paying
10212,Customer_10212,Uttar Pradesh,AEIB-UP,Anjali Rao,134900,False,0,0.0,N/A
10213,Customer_10213,Uttar Pradesh,AEIB-UP,Anjali Rao,5612,True,107961,8636.880000000001,Paying
10214,Customer_10214,Uttar Pradesh,AEIB-UP,Anjali Rao,91028,True,339189,27135.12,Not Paying
10215,Customer_10215,Uttar Pradesh,AEIB-UP,Anjali Rao,145192,True,386794,30943.52,Not Paying
10216,Customer_10216,Uttar Pradesh,AEIB-UP,Anjali Rao,192609,True,498276,39862.08,Paying
10217,Customer_10217,Uttar Pradesh,AEIB-UP,Anjali Rao,6608,False,0,0.0,N/A
10218,Customer_10218,Uttar Pradesh,AEIB-UP,Anjali Rao,78255,True,427116,34169.28,Paying
10219,Customer_10219,Uttar Pradesh,AEIB-UP,Anjali Rao,147994,False,0,0.0,N/A
10220,Customer_10220,Uttar Pradesh,AEIB-UP,Anjali Rao,53851,True,394064,31525.12,Paying
10221,Customer_10221,Uttar Pradesh,AEIB-UP,Anjali Rao,199438,False,0,0.0,N/A
10222,Customer_10222,Uttar Pradesh,AEIB-UP,Anjali Rao,179521,True,108530,8682.4,Paying
10223,Customer_10223,Uttar Pradesh,AEIB-UP,Anjali Rao,117882,True,456134,36490.72,Paying
10224,Customer_10224,Uttar Pradesh,AEIB-UP,Anjali Rao,43372,False,0,0.0,N/A
10225,Customer_10225,Uttar Pradesh,AEIB-UP,Anjali Rao,176714,True,150111,12008.880000000001,Paying
10226,Customer_10226,Uttar Pradesh,AEIB-UP,Anjali Rao,150953,True,479957,38396.56,Paying
10227,Customer_10227,Uttar Pradesh,AEIB-UP,Anjali Rao,66185,True,410317,32825.36,Paying
10228,Customer_10228,Uttar Pradesh,AEIB-UP,Anjali Rao,46574,True,112834,9026.72,Not Paying
10229,Customer_10229,Uttar Pradesh,AEIB-UP,Anjali Rao,89338,True,340050,27204.0,Paying
10230,Customer_10230,Uttar Pradesh,AEIB-UP,Anjali Rao,108069,True,141080,11286.4,Not Paying
10231,Customer_10231,Uttar Pradesh,AEIB-UP,Anjali Rao,93692,False,0,0.0,N/A
10232,Customer_10232,Uttar Pradesh,AEIB-UP,Anjali Rao,123977,True,192398,15391.84,Paying
10233,Customer_10233,Uttar Pradesh,AEIB-UP,Anjali Rao,183735,True,492488,39399.04,Paying
10234,Customer_10234,Uttar Pradesh,AEIB-UP,Anjali Rao,52449,False,0,0.0,N/A
10235,Customer_10235,Uttar Pradesh,AEIB-UP,Anjali Rao,41444,True,192549,15403.92,Paying
10236,Customer_10236,Uttar Pradesh,AEIB-UP,Anjali Rao,116204,False,0,0.0,N/A
10237,Customer_10237,Uttar Pradesh,AEIB-UP,Anjali Rao,77862,False,0,0.0,N/A
10238,Customer_10238,Uttar Pradesh,AEIB-UP,Anjali Rao,116551,False,0,0.0,N/A
10239,Customer_10239,Uttar Pradesh,AEIB-UP,Anjali Rao,86521,False,0,0.0,N/A
10240,Customer_10240,Uttar Pradesh,AEIB-UP,Anjali Rao,171384,True,344974,27597.920000000002,Paying
10241,Customer_10241,Bihar,AEIB-BR,Manoj Patel,166373,True,285866,22869.28,Not Paying
10242,Customer_10242,Bihar,AEIB-BR,Manoj Patel,128283,True,472483,37798.64,Not Paying
10243,Customer_10243,Bihar,AEIB-BR,Manoj Patel,104812,True,298268,23861.44,Paying
10244,Customer_10244,Bihar,AEIB-BR,Manoj Patel,180857,False,0,0.0,N/A
10245,Customer_10245,Bihar,AEIB-BR,Manoj Patel,170862,True,443808,35504.64,Not Paying
10246,Customer_10246,Bihar,AEIB-BR,Manoj Patel,156255,True,115276,9222.08,Not Paying
10247,Customer_10247,Bihar,AEIB-BR,Manoj Patel,42437,False,0,0.0,N/A
10248,Customer_10248,Bihar,AEIB-BR,Manoj Patel,15096,True,82884,6630.72,Not Paying
10249,Customer_10249,Bihar,AEIB-BR,Manoj Patel,45703,True,433928,34714.24,Paying
10250,Customer_10250,Bihar,AEIB-BR,Manoj Patel,157721,True,217433,17394.64,Paying
10251,Customer_10251,Bihar,AEIB-BR,Manoj Patel,190534,True,368670,29493.600000000002,Not Paying
10252,Customer_10252,Bihar,AEIB-BR,Manoj Patel,195340,True,379543,30363.440000000002,Paying
10253,Customer_10253,Bihar,AEIB-BR,Manoj Patel,78735,False,0,0.0,N/A
10254,Customer_10254,Bihar,AEIB-BR,Manoj Patel,170730,False,0,0.0,N/A
10255,Customer_10255,Bihar,AEIB-BR,Manoj Patel,104920,False,0,0.0,N/A
10256,Customer_10256,Bihar,AEIB-BR,Manoj Patel,58743,True,236327,18906.16,Paying
10257,Customer_10257,Bihar,AEIB-BR,Manoj Patel,82799,True,343154,27452.32,Paying
10258,Customer_10258,Bihar,AEIB-BR,Manoj Patel,159275,False,0,0.0,N/A
10259,Customer_10259,Bihar,AEIB-BR,Manoj Patel,17912,True,255237,20418.96,Not Paying
10260,Customer_10260,Bihar,AEIB-BR,Manoj Patel,60397,True,356440,28515.2,Paying
10261,Customer_10261,Bihar,AEIB-BR,Manoj Patel,154201,False,0,0.0,N/A
10262,Customer_10262,Bihar,AEIB-BR,Manoj Patel,160600,False,0,0.0,N/A
10263,Customer_10263,Bihar,AEIB-BR,Manoj Patel,90022,True,92756,7420.4800000000005,Paying
10264,Customer_10264,Bihar,AEIB-BR,Manoj Patel,37891,False,0,0.0,N/A
10265,Customer_10265,Bihar,AEIB-BR,Manoj Patel,175300,True,199085,15926.800000000001,Not Paying
10266,Customer_10266,Bihar,AEIB-BR,Manoj Patel,76208,True,210435,16834.8,Paying
10267,Customer_10267,Bihar,AEIB-BR,Manoj Patel,117699,True,293937,23514.96,Paying
10268,Customer_10268,Bihar,AEIB-BR,Manoj Patel,127094,False,0,0.0,N/A
10269,Customer_10269,Bihar,AEIB-BR,Manoj Patel,113760,True,106487,8518.960000000001,Not Paying
10270,Customer_10270,Bihar,AEIB-BR,Manoj Patel,193924,False,0,0.0,N/A
10271,Customer_10271,Bihar,AEIB-BR,Manoj Patel,131152,True,152181,12174.48,Not Paying
10272,Customer_10272,Bihar,AEIB-BR,Manoj Patel,97607,False,0,0.0,N/A
10273,Customer_10273,Bihar,AEIB-BR,Manoj Patel,118798,True,109855,8788.4,Not Paying
